Order_ID,Order_Date,Store_ID,Store_Name,Region,State,City,Product_ID,Product_Name,Product_Category,Beverage_Size,Temperature,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Sales_Channel,Payment_Method,Customer_Type,Promo_Flag,Loyalty_Member,Order_Status,Weather,Daypart
ORD-100001,2/23/2023,DK025,Dunkins Store DK025,Midwest,Illinois,Chicago,B007,Matcha Latte,Tea,Medium,Hot,3,5.41,0.05,15.42,4.05,11.37,In-Store,Debit Card,New,Yes,Yes,Completed,Cold,Afternoon
ORD-100002,6/23/2024,DK013,Dunkins Store DK013,Midwest,Illinois,Chicago,F003,Muffin,Bakery,NA,NA,2,2.99,0.1,5.38,1.66,3.72,Mobile App,Credit Card,Returning,Yes,No,Completed,Rainy,Morning
ORD-100003,7/1/2023,DK013,Dunkins Store DK013,South,North Carolina,Charlotte,F001,Glazed Donut,Bakery,NA,NA,1,1.7,0,1.7,0.42,1.28,Delivery,Mobile Wallet,New,No,Yes,Completed,Sunny,Afternoon
ORD-100004,1/17/2024,DK027,Dunkins Store DK027,South,Florida,Miami,F003,Muffin,Bakery,NA,NA,2,2.87,0.15,4.88,1.55,3.33,Delivery,Cash,New,Yes,Yes,Completed,Cold,Afternoon
ORD-100005,8/19/2023,DK009,Dunkins Store DK009,Midwest,Illinois,Chicago,F003,Muffin,Bakery,NA,NA,4,2.92,0,11.68,3.06,8.62,Mobile App,Credit Card,New,No,Yes,Completed,Rainy,Morning
ORD-100006,9/7/2024,DK023,Dunkins Store DK023,West,Arizona,Phoenix,B010,Frozen Chocolate,Frozen Drinks,Medium,Frozen,1,6.02,0.15,5.12,1.7,3.42,Mobile App,Mobile Wallet,Returning,Yes,No,Completed,Rainy,Evening
ORD-100007,9/6/2023,DK027,Dunkins Store DK027,West,Arizona,Phoenix,B008,Black Tea,Tea,Large,Iced,1,3.62,0.1,3.26,0.6,2.66,Drive-Thru,Credit Card,New,Yes,Yes,Completed,Snowy,Afternoon
ORD-100008,9/17/2023,DK014,Dunkins Store DK014,Midwest,Ohio,Columbus,B006,Americano,Espresso,Medium,Hot,2,3.83,0,7.66,1.46,6.2,Mobile App,Cash,Returning,No,No,Completed,Snowy,Morning
ORD-100009,2/8/2023,DK003,Dunkins Store DK003,South,Texas,Dallas,B007,Matcha Latte,Tea,Small,Hot,1,4.52,0,4.52,1.43,-1.54,Delivery,Cash,New,Yes,Yes,Refunded,Cold,Afternoon
ORD-100010,12/28/2023,DK017,Dunkins Store DK017,Northeast,Pennsylvania,Philadelphia,B006,Americano,Espresso,Medium,Iced,1,4.06,0,4.06,0.72,3.34,Drive-Thru,Credit Card,New,No,No,Completed,Rainy,Morning
ORD-100011,8/29/2023,DK022,Dunkins Store DK022,West,Arizona,Phoenix,B003,Cold Brew,Coffee,Small,Iced,1,3.92,0,3.92,0.94,2.98,In-Store,Credit Card,New,No,Yes,Completed,Rainy,Afternoon
ORD-100012,7/8/2023,DK028,Dunkins Store DK028,Midwest,Indiana,Indianapolis,B002,Iced Coffee,Coffee,Large,Iced,1,4.23,0,4.23,0.87,3.36,Drive-Thru,Gift Card,New,No,Yes,Completed,Cold,Afternoon
ORD-100013,5/4/2023,DK026,Dunkins Store DK026,Midwest,Michigan,Detroit,F001,Glazed Donut,Bakery,NA,NA,5,1.59,0.2,6.36,2.03,4.33,Delivery,Mobile Wallet,Returning,Yes,No,Completed,Rainy,Evening
ORD-100014,7/14/2024,DK022,Dunkins Store DK022,Midwest,Illinois,Chicago,B003,Cold Brew,Coffee,Medium,Iced,4,4.15,0,16.6,4.23,12.37,Mobile App,Debit Card,New,No,Yes,Completed,Sunny,Morning
ORD-100015,12/8/2023,DK014,Dunkins Store DK014,South,North Carolina,Charlotte,B011,Strawberry Refresher,Refreshers,Large,Iced,1,4.74,0.15,4.03,1.05,2.98,Drive-Thru,Cash,Returning,Yes,No,Completed,Cold,Morning
ORD-100016,4/21/2024,DK027,Dunkins Store DK027,Midwest,Michigan,Detroit,B009,Frozen Coffee,Frozen Drinks,Large,Frozen,1,6.14,0.1,5.53,1.66,3.87,Delivery,Debit Card,New,Yes,No,Completed,Cloudy,Morning
ORD-100017,8/29/2023,DK023,Dunkins Store DK023,Northeast,New York,New York,B009,Frozen Coffee,Frozen Drinks,Medium,Frozen,5,5.56,0.2,22.24,8.16,14.08,Delivery,Debit Card,New,Yes,Yes,Completed,Rainy,Evening
ORD-100018,12/18/2024,DK022,Dunkins Store DK022,West,Arizona,Phoenix,B004,Latte,Espresso,Small,Hot,1,4.3,0.2,3.44,1.24,2.2,In-Store,Cash,New,Yes,Yes,Completed,Cold,Afternoon
ORD-100019,7/20/2023,DK023,Dunkins Store DK023,Midwest,Illinois,Chicago,B002,Iced Coffee,Coffee,Medium,Iced,1,3.92,0.05,3.72,0.86,2.86,Delivery,Mobile Wallet,Returning,Yes,No,Completed,Snowy,Morning
ORD-100020,4/27/2024,DK011,Dunkins Store DK011,South,Texas,Dallas,B004,Latte,Espresso,Large,Iced,2,5.5,0.2,8.8,2.49,6.31,Drive-Thru,Mobile Wallet,Returning,Yes,Yes,Completed,Cold,Morning
ORD-100021,12/15/2024,DK019,Dunkins Store DK019,West,California,Los Angeles,B007,Matcha Latte,Tea,Large,Hot,1,5.69,0,5.69,1.4,4.29,Mobile App,Cash,Returning,No,Yes,Completed,Snowy,Morning
ORD-100022,7/23/2024,DK021,Dunkins Store DK021,Northeast,New Jersey,Jersey City,B002,Iced Coffee,Coffee,Medium,Iced,1,3.63,0.05,3.45,0.85,2.6,Delivery,Credit Card,Returning,Yes,Yes,Completed,Snowy,Afternoon
ORD-100023,11/15/2024,DK018,Dunkins Store DK018,West,Washington,Seattle,B011,Strawberry Refresher,Refreshers,Small,Iced,4,4.31,0,17.24,4.3,12.94,Mobile App,Debit Card,New,No,No,Completed,Sunny,Afternoon
ORD-100024,5/8/2023,DK030,Dunkins Store DK030,South,Georgia,Atlanta,B012,Mango Refresher,Refreshers,Medium,Iced,2,4.28,0,8.56,2.32,6.24,Delivery,Mobile Wallet,New,No,Yes,Completed,Rainy,Afternoon
ORD-100025,11/21/2024,DK020,Dunkins Store DK020,South,Texas,Dallas,B006,Americano,Espresso,Medium,Iced,5,3.56,0.05,16.91,4.12,12.79,In-Store,Debit Card,New,Yes,Yes,Completed,Cold,Morning
ORD-100026,1/11/2024,DK009,Dunkins Store DK009,South,North Carolina,Charlotte,F001,Glazed Donut,Bakery,NA,NA,2,1.6,0,3.2,0.81,2.39,Delivery,Credit Card,Returning,No,No,Completed,Rainy,Night
ORD-100027,10/21/2023,DK011,Dunkins Store DK011,South,North Carolina,Charlotte,B003,Cold Brew,Coffee,Small,Iced,1,3.76,0,3.76,1,2.76,In-Store,Credit Card,Returning,No,No,Completed,Cloudy,Morning
ORD-100028,5/12/2024,DK006,Dunkins Store DK006,Midwest,Michigan,Detroit,B008,Black Tea,Tea,Medium,Hot,2,2.97,0.05,5.64,1.15,4.49,Delivery,Mobile Wallet,New,Yes,Yes,Completed,Sunny,Morning
ORD-100029,7/29/2024,DK021,Dunkins Store DK021,Northeast,Massachusetts,Boston,F001,Glazed Donut,Bakery,NA,NA,3,1.69,0,5.07,1.31,3.76,In-Store,Debit Card,Returning,No,No,Completed,Snowy,Night
ORD-100030,5/5/2024,DK014,Dunkins Store DK014,South,Florida,Miami,B002,Iced Coffee,Coffee,Medium,Iced,2,3.65,0.2,5.84,1.58,4.26,Delivery,Gift Card,New,Yes,No,Completed,Rainy,Morning
ORD-100031,2/10/2024,DK028,Dunkins Store DK028,South,Georgia,Atlanta,B006,Americano,Espresso,Medium,Hot,2,3.82,0,7.64,1.45,6.19,Delivery,Mobile Wallet,New,No,Yes,Completed,Cloudy,Afternoon
ORD-100032,11/12/2024,DK004,Dunkins Store DK004,West,Arizona,Phoenix,B003,Cold Brew,Coffee,Medium,Iced,3,4.63,0.1,12.5,3.07,-4.71,Drive-Thru,Mobile Wallet,Returning,Yes,Yes,Refunded,Rainy,Evening
ORD-100033,5/23/2023,DK028,Dunkins Store DK028,West,California,Los Angeles,F003,Muffin,Bakery,NA,NA,3,2.85,0.1,7.7,2.43,-2.63,Drive-Thru,Cash,New,Yes,Yes,Refunded,Snowy,Morning
ORD-100034,8/30/2023,DK025,Dunkins Store DK025,West,Colorado,Denver,B003,Cold Brew,Coffee,Small,Iced,2,3.57,0.15,6.07,1.99,4.08,Drive-Thru,Cash,Returning,Yes,No,Completed,Sunny,Afternoon
ORD-100035,7/20/2024,DK029,Dunkins Store DK029,Northeast,New York,New York,B002,Iced Coffee,Coffee,Small,Iced,5,3.3,0.2,13.2,4.21,8.99,Mobile App,Mobile Wallet,Returning,Yes,Yes,Completed,Cloudy,Morning
ORD-100036,8/20/2023,DK029,Dunkins Store DK029,West,Arizona,Phoenix,B002,Iced Coffee,Coffee,Small,Iced,2,3.01,0,6.02,1.66,-2.18,Delivery,Mobile Wallet,New,No,Yes,Refunded,Snowy,Morning
ORD-100037,1/15/2023,DK014,Dunkins Store DK014,Midwest,Indiana,Indianapolis,F002,Bagel with Cream Cheese,Bakery,NA,NA,5,3.76,0.05,17.86,5.2,12.66,Mobile App,Credit Card,Returning,Yes,No,Completed,Cold,Morning
ORD-100038,10/31/2024,DK012,Dunkins Store DK012,Northeast,New York,New York,B012,Mango Refresher,Refreshers,Small,Iced,4,4.05,0,16.2,4.72,11.48,Delivery,Gift Card,New,No,Yes,Completed,Cold,Evening
ORD-100039,7/17/2024,DK004,Dunkins Store DK004,Midwest,Illinois,Chicago,B011,Strawberry Refresher,Refreshers,Large,Iced,4,4.82,0,19.28,4.54,14.74,Mobile App,Mobile Wallet,Returning,No,No,Completed,Cloudy,Evening
ORD-100040,7/1/2023,DK005,Dunkins Store DK005,West,Arizona,Phoenix,B011,Strawberry Refresher,Refreshers,Large,Iced,3,5.03,0.15,12.83,3.25,9.58,Delivery,Credit Card,Returning,Yes,Yes,Completed,Snowy,Night
ORD-100041,10/7/2023,DK001,Dunkins Store DK001,Northeast,New York,New York,B009,Frozen Coffee,Frozen Drinks,Medium,Frozen,1,6.16,0.15,5.24,1.59,3.65,Delivery,Credit Card,New,Yes,Yes,Completed,Rainy,Morning
ORD-100042,12/1/2023,DK012,Dunkins Store DK012,Midwest,Ohio,Columbus,B002,Iced Coffee,Coffee,Large,Iced,3,4.32,0.05,12.31,2.51,9.8,Drive-Thru,Gift Card,Returning,Yes,Yes,Completed,Snowy,Evening
ORD-100043,8/5/2023,DK024,Dunkins Store DK024,Midwest,Indiana,Indianapolis,B001,Original Blend Coffee,Coffee,Medium,Hot,1,2.95,0,2.95,0.63,2.32,Mobile App,Cash,New,No,No,Completed,Rainy,Afternoon
ORD-100044,8/17/2023,DK027,Dunkins Store DK027,West,California,Los Angeles,F001,Glazed Donut,Bakery,NA,NA,1,1.81,0.1,1.63,0.45,1.18,Delivery,Credit Card,Returning,Yes,Yes,Completed,Cloudy,Morning
ORD-100045,2/28/2024,DK027,Dunkins Store DK027,West,Arizona,Phoenix,F002,Bagel with Cream Cheese,Bakery,NA,NA,4,3.65,0.15,12.41,3.64,8.77,Drive-Thru,Credit Card,New,Yes,No,Completed,Snowy,Morning
ORD-100046,10/14/2024,DK023,Dunkins Store DK023,Midwest,Ohio,Columbus,B012,Mango Refresher,Refreshers,Small,Iced,3,3.96,0.1,10.69,3.42,7.27,Drive-Thru,Gift Card,Returning,Yes,Yes,Completed,Snowy,Afternoon
ORD-100047,8/26/2024,DK018,Dunkins Store DK018,Midwest,Indiana,Indianapolis,B006,Americano,Espresso,Medium,Iced,3,3.72,0.1,10.04,2.32,7.72,Drive-Thru,Mobile Wallet,New,Yes,No,Completed,Rainy,Afternoon
ORD-100048,7/18/2024,DK028,Dunkins Store DK028,Midwest,Ohio,Columbus,B007,Matcha Latte,Tea,Large,Hot,4,5.73,0.1,20.63,5.2,15.43,Drive-Thru,Debit Card,New,Yes,Yes,Completed,Cold,Afternoon
ORD-100049,9/30/2023,DK008,Dunkins Store DK008,Midwest,Michigan,Detroit,B006,Americano,Espresso,Small,Hot,2,3.14,0,6.28,1.52,4.76,Delivery,Credit Card,New,Yes,No,Completed,Snowy,Morning
